class_id,class_name,precision,recall,f1,support
0,T-shirt/top,0.8714285714285714,0.793,0.8303664921465969,1000
1,Trouser,0.9948347107438017,0.963,0.9786585365853658,1000
2,Pullover,0.8136986301369863,0.891,0.8505966587112171,1000
3,Dress,0.8003442340791739,0.93,0.8603145235892692,1000
4,Coat,0.8586206896551725,0.747,0.7989304812834225,1000
5,Sandal,0.9656912209889001,0.957,0.9613259668508287,1000
6,Shirt,0.695,0.695,0.695,1000
7,Sneaker,0.9321047526673133,0.961,0.9463318562284588,1000
8,Bag,0.9828973843058351,0.977,0.9799398194583752,1000
9,Ankle boot,0.9662921348314607,0.946,0.9560384032339565,1000
